"Species","variable","value.Barbilla","value.Cola","value.Corona","value.Esp_Inf","value.Esp_Med","value.Esp_Sup","value.Frente","value.Garganta","value.Hombro","value.Nuca","value.Panza","value.Parche_Malar","value.Pecho","value.Peso","Peso_log2"
"Dacnis cayana","UV",5.92619047619048,3.03744047619048,13.8305952380952,10.2370238095238,0.113280357142857,3.52034107142857,18.8636904761905,2.97148214285714,4.13132142857143,0.315722142857143,0.144390297619048,0.255734345238095,4.41613095238095,13,3.70043971814109
"Dacnis cayana","VIS",6.21958984375,3.1928103515625,8.98693359375,8.56404296875,0.50298607421875,3.5198828125,10.49224609375,3.15147265625,4.12994140625,0.35881046875,0.62851080078125,0.2212455078125,5.106171875,13,3.70043971814109
"Dacnis cayana","NIR",9.30386064030132,7.6284934086629,7.29774011299435,7.49875706214689,1.8296872693032,5.98687382297552,5.38468926553672,4.70804143126177,7.00367231638418,1.27501193973635,1.20298992467043,0.568768474576271,6.89303201506591,13,3.70043971814109
"Dendrocincla fuliginosa","UV",2.1712380952381,2.77136904761905,1.77951785714286,2.64059523809524,1.93157142857143,3.11797619047619,2.07066666666667,4.52303571428571,1.83845833333333,1.48494583333333,5.28434523809524,1.13039880952381,7.9647619047619,45,5.49185309632967
"Dendrocincla fuliginosa","VIS",4.28947265625,5.963298828125,3.768181640625,6.7327734375,4.625212890625,5.90716796875,4.338515625,9.7507421875,3.538966796875,3.0034921875,7.1913671875,3.394595703125,8.46791015625,45,5.49185309632967
"Dendrocincla fuliginosa","NIR",6.78386064030132,20.6679849340866,9.89231638418079,17.253483992467,13.4365348399247,14.5817514124294,10.4890960451977,16.4412429378531,10.1458757062147,5.54346516007533,14.4812052730697,8.92254237288136,12.1318644067797,45,5.49185309632967
"Elaenia frantzii","UV",3.99800595238095,8.44339285714286,3.65453571428571,-0.352692023809524,4.58335119047619,4.82714285714286,4.55292261904762,4.49909523809524,0.199593452380952,4.47590476190476,31.2529761904762,2.0824880952381,19.6859523809524,15.5,3.95419631038688
"Elaenia frantzii","VIS",4.7341015625,9.77646484375,4.445078125,0.8032357421875,7.28666015625,6.58525390625,6.39759765625,5.45119140625,0.5202142578125,5.81919921875,33.5119140625,3.178140625,23.6091796875,15.5,3.95419631038688
"Elaenia frantzii","NIR",5.10708286252354,17.8472693032015,10.4166290018832,4.72932203389831,14.643615819209,13.6126177024482,10.6004519774011,5.99125235404896,2.66148399246704,10.2274387947269,34.3700564971751,5.17011299435028,25.3634651600753,15.5,3.95419631038688
"Euphonia laniirostris ","UV",2.78125,4.60815476190476,4.55303571428571,6.75035714285714,3.80797619047619,4.28363095238095,1.77568452380952,5.01446428571429,0.22127680952381,1.13067857142857,10.2560714285714,0.145901726190476,2.30666666666667,11,3.4594316186373
